Unnamed: 0,Text,Source
0,autocomplet result avail use arrow review enter select,https://www.who.int/countries
1,2020 2019 2018 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007 2006 2005 headquart hq antimicrobi resist divis busi oper academi communic diseas climat determin health framework convent tobacco control dgo deputi director gener offic data analyt deliveri director gener offic emerg respons access medicin health product chief scientist scienc divis extern relat govern uhc life cours uhc communic noncommunic diseas uhc healthier popul emerg prepared health metric measur health secur environ special initi health emerg programm special programm tdr sci staff health insur fnm bo polio erad dgo pandem influenza prepared wpe polio emerg countri collabor organ common charg expenditur bo noncommunic diseas mental health partnership matern newborn child health uhl access medicin vaccin pharmaceut famili woman child health gener manag exd offic health emerg prepared special programm hrp uhl allianc health polici system research sci hiv aid tb neglect tropic diseas extern relat govern exdgo emerg prepared adgo learn capac develop heo mvp adgo offic assist dg countri cooper collabor un system tdr director offic sci enabl function support pec cluster countri health emerg prepared ihr busi oper adgo bo secretariat water suppli sanit collabor mam adgo offic assist dg wsi adgo offic assist dg gmg adgo offic assist dg ced adgo offic assist dg food safeti zoonos contain pol govern bodi data analyt deliveri impact adgo govern intern cooper global drug facil environ climat chang health age life cours cd adgo offic assist dg plan resourc coordin perform monitor chief nurs public health envr social determin qualiti assur norm standard health emerg intervent data analyt health secur prepared emerg oper emerg risk manag humanitarian respons nutrit health develop manag offic whe detect interrupt pol research implement sci legal affair epidem pandem alert respons htm adgo offic assist dg social determin health fwc adgo offic assist dg human resourc manag digit health innov global ncd platform blue print hold workplan extern relat depart commun deliveri impact health emerg inform risk ass pec adgo offic assist dg global infecti hazard prepared nutrit food safeti global alert respons countri strategi support dgo gender woman health roll back malaria partnership secretariat develop assist financ bo programm innov manag sci nmh adgo offic assist dg manag financ hr pol health promot infecti hazard manag resourc mobil human resourc talent manag strateg plan partnership countri readi strengthen offic chef de cabinet dgo mgmnt ncd disabl violenc injuri prevent pact secretariat pol stop tb strateg health oper reproduct health research centr health develop kobe health migrat programm global capac alert respons research capac strengthen sci research health offic head convent secretariat offic deputi director gener intergovernment forum chemic safeti report knowledg manag manag administr stop tb partnership secretariat offic director gener emerg respons adgo health multilater partnership polio transit programm research develop pol prevent noncommunic diseas staff health wellb inform manag technolog pandem epidem diseas resourc mobil commun pol offic dg envoy multilater affair dgo global servic centr offic chief scientist evalu unit dgo global board appeal dgo oper support servic gender equiti human right dgo procur suppli servic independ oversight advisori committe ioac dgo offic intern oversight servic dgo global malaria programm offic legal counsel dgo control neglect tropic diseas offic director gener dgo global hiv hepat sexual transmit infect programm offic ombudsman mediat servic dgo global prepared monitor board secretariat dgo partnership non state actor global tuberculosi programm polici strateg direct strategi polici inform staff associ dgo transform implement chang dgo noncommunic diseas offic unit nation dgo surveil prevent control global coordin partnership amr adgo health product polici standard mental health substanc use regul prequalif uhc communic noncommunic diseas adgo access medicin health product adgo complianc risk manag ethic dgo health workforc uhl integr health servic health system govern financ uhl immun vaccin biolog sexual reproduct health research matern newborn child adolesc health age partnership matern newborn child health uhc life cours exdgo fiscal polici health tobacco public health laboratori strengthen goarn global health emerg workforc diagnost medicin resist mdr tb glc oper commun pol offic director gtb data evid knowledg uhl financ data analysi pol evid programm guidanc global talent manag comprehens inform system tobacco control erm resourc mobil extern relat govern gb ext control respons strategi engag establish govern contributor librari inform network knowledg acut event manag wre complianc risk manag adolesc risk popul biosecur health secur interfac address need vulner popul expert network intervent special programm primari health care global procur process logist diseas control humanitarian emerg global coordin mechan secretariat ncd govern review servic humanitarian polici guidanc continu busi improv qualiti care global alert respons oper prequalif amr infect control public corpor contractu matter due dilig non state actor stewardship awar healthi mobil field epidemiolog support expert committe drug depend ecd agenda polici strategi advocaci classif terminolog foodborn zoonot diseas high impact epidem outbreak prepared respons pol budget coordin grant manag bo ebola viru outbreak respons physic activ infrastructur support servic blind deaf prevent disabl rehab transform account polici report core capac ass monitor evalu digit social visual dco ext busi relationship manag public health law polici intellig inform monitor border health risk dissemin programm resourc manag pol offic publish sci press contracept fertil care logist support servic unintent injuri prevent hr global oper health labour market partnership uhl growth ass surveil data coordin govern chief technolog offic offic impact initi research coordin commun tb oper coordin elimin engag health emerg nation capac emerg manag support ihr capac ass develop mainten health inform advocaci dco ext global suppli polici high threat pathogen incom award donor report intern administr law dgo director offic inform system analyt epidem emerg diseas nation action plan monitor evalu resourc coordin donor analyt bo humanitarian intervent surveil lab data pol human reproduct risk ass manag resourc mobil pol capac buildng collab acceler 3b target countri simul exercis review epidem forecast analysi emerg tech research prioritis support centr support offic grant manag report clinic servic system interag polici emerg influenza hepat pip framework hr liaison servic languag servic gb ext plan analysi risk manag programm oper cluster manag event manag support prepared readi core capac build global malaria strategi agenda set countri capac ihr protocol ext gb hr busi partner cybersecur data exchang librari compens pension servic bo tb diagnost laboratori strengthen nutrit polici scientif advic hrh polici standard uhl intern leadership dco ext resourc mobil tobacco control econom tripartit joint secretariat gsc director offic health servic perform ass suppli hq oper partnership secur staff wellb intern constitut global health law evid polici impact ihr monitor procedur inform global health cluster secur servic bo emerg diseas zoonos high burden high impact commun readi resili tb prevent diagnosi treatment care innov strateg plan perform monitor bo matern perinat health prevent unsaf abort essenti programm immun disast risk manag resili polici practic evalu innov hub matern perinat health zika emerg respons programm manag support emerg oper center ph intellig risk ass dissemin engag fund bank multilater inform manag commun surveil evid laboratori strengthen health ethic govern chief inform offic offic engag foundat corpor innov financ programm manag global influenza programm wep public digit health technolog tradit complementari integr medicin method evid analyt health secur offic director hrt surg crisi support team stop tb strategi oper support logist wre tb monitor evalu strateg inform news emerg crisi dco ext health care readi workplan budget financ immun analysi insight gender equiti human right expenditur control analysi prevent unsaf abort health inform system strengthen global prepared surveil respons product design impact tb vulner popul commun comorbid multisector engag health secur monitor forecast inequ high impact event prepared strategi govern support ihr capac develop learn solut train frontier technolog data product deliveri research health secur interfac strategi plan coordin dco ext hr polici coordin intern justic demograph chang healthi age financ director offic research leadership capac strengthen talent acquisit manag global financ gsc gfi project manag govern srh integr health system secretariat epa violenc prevent influenza prepared respons wep survey crv health servic data process effici vaccin allianc partnership readi ass priorit sexual health reproduct cancer offic publish sci integr servic deliveri global payrol gsc pay lyon offic manag safeti mobil ncd manag screen diagnosi treatment surveil monitor report hrp secretariat treasuri sdh director offic equiti health le alcohol sensori function disabl rehabilit offic director ncd hiv aid cross cut hep expert offic director hh polici plan manag strateg inform analysi use cross cut sti expert treatment care servic deliveri test prevent popul health financ uhl alcohol drug addict behavior system govern polici econom evalu analysi intern health partnership uhc 2030 partnership health financ inn classif medic product inn medicin select ip afford technic standard specif inform respons vector control resist food nutrit action health system mental health adolesc young adult health brain health child health develop matern health offic director msd newborn health polici law human right monitor nutrit statu food safeti event age health epidemiolog monitor evalu uhl mca director offic multisector action food system standard scientif advic food nutrit air qualiti health chemic safeti health unit climat chang health radiat health water sanit hygien health regul safeti access assist technolog medic devic local product assist enhanc wellb director offic field secur support asset manag bo global initi instrument drug biolog suppli pension servic blood product human origin assist technolog infect prevent control uhl govern partnership applic inform manag biorisk reduct danger pathogen pharmacovigil suppli catalogu good lta confer logist servic awar campaign inspect servic antimicrobi consumpt use surveil emerg event respons wre evid emerg amr norm standard biolog product premis secur servic medic devic diagnost human anim interfac ihr vitro diagnost ass one health research prioriti set synergi global confer train essenti medicin tripartit countri coordin build premis manag bo environment commun suppli epidem readi intervent stewardship behaviour chang facilit product introduct architectur infrastructur record archiv bo oper user support norm standard pharmaceut laboratori strengthen integr surveil global process special construct project bo incid sf medic devic work place collabor servic space plan accommod bo travel bo medicin ass hospit consum medic devic suppli laboratori network servic vaccin immun devic ass regulatori converg network ship fleet servic vector control product ass regulatori system strengthen mhp emerg danger pathogen innov translat research epidem,https://www.who.int/countries
2,statement resum 73rd world health assembl chair review committe function intern health regul 2005 covid 19 respons,https://www.who.int/countries
3,global public health day offer great potenti rais awar understand health issu mobil support action local commun intern stage mani world day observ throughout year relat specif health issu condit alzheim zoonos howev focus particular attent 9 day 2 week member state mandat offici global public health day,https://www.who.int/countries
4,autocomplet result avail use arrow review enter select,https://www.who.int/countries
5,autocomplet result avail use arrow review enter select,https://www.who.int/countries
6,autocomplet result avail use arrow review enter select,https://www.who.int/countries
7,autocomplet result avail use arrow review enter select,https://www.who.int/countries
8,autocomplet result avail use arrow review enter select,https://www.who.int/countries
9,digit updat find latest covid 19 content guidanc must know inform sign regular digit updat get roundup popular web social content highlight stori speech press confer may miss list latest guidanc includ translat practic readi use multilingu resourc,https://www.who.int/countries
